PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
002200,PRICEGROUP1,33.45,83.0477,3050
002200,PRICEGROUP2,33.45,83.0477,3040
002200,PRICEGROUP3,36.9106,83.0477,3030
002200,PRICEGROUP4,41.5239,83.0477,3020
002200,PRICEGROUP5,44.9836,83.0477,3010
002200,PRICEGROUP6,33.45,83.0477,3031
002200,PRICEGROUP7,41.5239,83.0477,3021
002200UC,PRICEGROUP1,33.45,83.0477,3050
002200UC,PRICEGROUP2,33.45,83.0477,3040
002200UC,PRICEGROUP3,36.9106,83.0477,3030
002200UC,PRICEGROUP4,41.5239,83.0477,3020
002200UC,PRICEGROUP5,44.9836,83.0477,3010
002200UC,PRICEGROUP6,33.45,83.0477,3031
002200UC,PRICEGROUP7,41.5239,83.0477,3021
002210,PRICEGROUP1,33.45,83.0477,3050
002210,PRICEGROUP2,33.45,83.0477,3040
002210,PRICEGROUP3,36.9106,83.0477,3030
002210,PRICEGROUP4,41.5239,83.0477,3020
002210,PRICEGROUP5,44.9836,83.0477,3010
002210,PRICEGROUP6,33.45,83.0477,3031
002210,PRICEGROUP7,41.5239,83.0477,3021
002210UC,PRICEGROUP1,33.45,83.0477,3050
002210UC,PRICEGROUP2,33.45,83.0477,3040
002210UC,PRICEGROUP3,36.9106,83.0477,3030
002210UC,PRICEGROUP4,41.5239,83.0477,3020
002210UC,PRICEGROUP5,44.9836,83.0477,3010
002210UC,PRICEGROUP6,33.45,83.0477,3031
002210UC,PRICEGROUP7,41.5239,83.0477,3021
002220,PRICEGROUP1,33.45,83.0477,3050
002220,PRICEGROUP2,33.45,83.0477,3040
002220,PRICEGROUP3,36.9106,83.0477,3030
002220,PRICEGROUP4,41.5239,83.0477,3020
002220,PRICEGROUP5,44.9836,83.0477,3010
002220,PRICEGROUP6,33.45,83.0477,3031
002220,PRICEGROUP7,41.5239,83.0477,3021
002240,PRICEGROUP1,33.45,83.0477,3050
002240,PRICEGROUP2,33.45,83.0477,3040
002240,PRICEGROUP3,36.9106,83.0477,3030
002240,PRICEGROUP4,41.5239,83.0477,3020
002240,PRICEGROUP5,44.9836,83.0477,3010
002240,PRICEGROUP6,33.45,83.0477,3031
002240,PRICEGROUP7,41.5239,83.0477,3021
002402,PRICEGROUP1,26.529,66.8995,3050
002402,PRICEGROUP2,26.529,66.8995,3040
002402,PRICEGROUP3,29.989,66.8995,3030
002402,PRICEGROUP4,33.4498,66.8995,3020
002402,PRICEGROUP5,36.9151,66.8995,3010
002402,PRICEGROUP6,26.529,66.8995,3031
002402,PRICEGROUP7,33.4498,66.8995,3021
002402UC,PRICEGROUP1,26.529,66.8995,3050
002402UC,PRICEGROUP2,26.529,66.8995,3040
002402UC,PRICEGROUP3,29.989,66.8995,3030
002402UC,PRICEGROUP4,33.4498,66.8995,3020
002402UC,PRICEGROUP5,36.9151,66.8995,3010
002402UC,PRICEGROUP6,26.529,66.8995,3031
002402UC,PRICEGROUP7,33.4498,66.8995,3021
002520,PRICEGROUP1,26.529,66.8995,3050
002520,PRICEGROUP2,26.529,66.8995,3040
002520,PRICEGROUP3,29.989,66.8995,3030
002520,PRICEGROUP4,33.4498,66.8995,3020
002520,PRICEGROUP5,36.9151,66.8995,3010
002520,PRICEGROUP6,26.529,66.8995,3031
002520,PRICEGROUP7,33.4498,66.8995,3021
002520UC,PRICEGROUP1,26.529,66.8995,3050
002520UC,PRICEGROUP2,26.529,66.8995,3040
002520UC,PRICEGROUP3,29.989,66.8995,3030
002520UC,PRICEGROUP4,33.4498,66.8995,3020
002520UC,PRICEGROUP5,36.9151,66.8995,3010
002520UC,PRICEGROUP6,26.529,66.8995,3031
002520UC,PRICEGROUP7,33.4498,66.8995,3021
003600,PRICEGROUP1,33.45,83.0477,3050
003600,PRICEGROUP2,33.45,83.0477,3040
003600,PRICEGROUP3,36.9106,83.0477,3030
003600,PRICEGROUP4,41.5239,83.0477,3020
003600,PRICEGROUP5,44.9836,83.0477,3010
003600,PRICEGROUP6,33.45,83.0477,3031
003600,PRICEGROUP7,41.5239,83.0477,3021
003600UC,PRICEGROUP1,33.45,83.0477,3050
003600UC,PRICEGROUP2,33.45,83.0477,3040
003600UC,PRICEGROUP3,36.9106,83.0477,3030
003600UC,PRICEGROUP4,41.5239,83.0477,3020
003600UC,PRICEGROUP5,44.9836,83.0477,3010
003600UC,PRICEGROUP6,33.45,83.0477,3031
003600UC,PRICEGROUP7,41.5239,83.0477,3021
003700,PRICEGROUP1,33.45,83.0477,3050
003700,PRICEGROUP2,33.45,83.0477,3040
003700,PRICEGROUP3,36.9106,83.0477,3030
003700,PRICEGROUP4,41.5239,83.0477,3020
003700,PRICEGROUP5,44.9836,83.0477,3010
003700,PRICEGROUP6,33.45,83.0477,3031
003700,PRICEGROUP7,41.5239,83.0477,3021
003700UC,PRICEGROUP1,33.45,83.0477,3050
003700UC,PRICEGROUP2,33.45,83.0477,3040
003700UC,PRICEGROUP3,36.9106,83.0477,3030
003700UC,PRICEGROUP4,41.5239,83.0477,3020
003700UC,PRICEGROUP5,44.9836,83.0477,3010
003700UC,PRICEGROUP6,33.45,83.0477,3031
003700UC,PRICEGROUP7,41.5239,83.0477,3021
003712,PRICEGROUP1,33.45,83.0477,3050
003712,PRICEGROUP2,33.45,83.0477,3040
003712,PRICEGROUP3,36.9106,83.0477,3030
003712,PRICEGROUP4,41.5239,83.0477,3020
003712,PRICEGROUP5,44.9836,83.0477,3010
003712,PRICEGROUP6,33.45,83.0477,3031
003712,PRICEGROUP7,41.5239,83.0477,3021
003820,PRICEGROUP1,33.45,83.0477,3050
003820,PRICEGROUP2,33.45,83.0477,3040
003820,PRICEGROUP3,36.9106,83.0477,3030
003820,PRICEGROUP4,41.5239,83.0477,3020
003820,PRICEGROUP5,44.9836,83.0477,3010
003820,PRICEGROUP6,33.45,83.0477,3031
003820,PRICEGROUP7,41.5239,83.0477,3021
003820UC,PRICEGROUP1,33.45,83.0477,3050
003820UC,PRICEGROUP2,33.45,83.0477,3040
003820UC,PRICEGROUP3,36.9106,83.0477,3030
003820UC,PRICEGROUP4,41.5239,83.0477,3020
003820UC,PRICEGROUP5,44.9836,83.0477,3010
003820UC,PRICEGROUP6,33.45,83.0477,3031
003820UC,PRICEGROUP7,41.5239,83.0477,3021
003830,PRICEGROUP1,33.45,83.0477,3050
003830,PRICEGROUP2,33.45,83.0477,3040
003830,PRICEGROUP3,36.9106,83.0477,3030
003830,PRICEGROUP4,41.5239,83.0477,3020
003830,PRICEGROUP5,44.9836,83.0477,3010
003830,PRICEGROUP6,33.45,83.0477,3031
003830,PRICEGROUP7,41.5239,83.0477,3021
003900,PRICEGROUP1,33.45,83.0477,3050
003900,PRICEGROUP2,33.45,83.0477,3040
003900,PRICEGROUP3,36.9106,83.0477,3030
003900,PRICEGROUP4,41.5239,83.0477,3020
