Customer,Company name,Category
KIN01,AUTO ONE BALCATTA,3030
KKA00,AUTOPRO (K & K AUTO PARTS),3021
KMA05,KEN MATTHEWS AUTO & MOWER CENT,3010
KNM00,K & M AUTOMOTIVE SERVICES,3030
KOR01,KOR EQUIPMENT SOLUTIONS P/L,3030
KSA00,KSA TRUCK PARTS,3030
KUN00,KUNUNURRA 4WD SPARES,3030
KUN02,AUTOPRO KUNUNURRA,3021
KYA01,AUTOPRO KYABRAM,3021
KYN01,AUTOPRO KYNETON,3021
KYN02,AUTOPRO CASTLEMAINE,3021
LAK09,LAKES AUTO PARTS & ACCESSORIES,3030
LAU00,AUTOPRO LAURIETON,3021
LAW04,AUTOBARN LAWNTON(closed),3021
LEE09,LEETON AUTO GEAR,3020
LEE11,LEE'S SPARE PARTS & PERFORMANC,3030
LEM00,LEMANS MOTORS (WOOLLOONGABBA),3020
LEO00,AUTOPRO LEONGATHA,3021
LIE03,LIESCHKE MOTORS PTY LTD,3030
LIL03,LILYDALE BRAKE & CLUTCH,3050
LIQ03,LIQUIP SALES NZ LTD,3030
LIS02,AUTOBARN LISMORE,3021
LKD00,L K DIESEL SERVICE,3010
LUX00,LUXFORDS MARINE & INDUSTRIAL,3010
MAC01,MACKAY SPARE PARTS,3010
MAC26,MACH 1 AUTO ONE,3030
MAC28,MACKS AUTO & TYRE CENTRE,3020
MAC39,AUTOBARN MACKAY,3021
MAG02,MAGNET SPARES,3010
MAI04,AUTOBARN MAITLAND,3021
MAI08,MAITLAND AUTO ONE,3020
MAI18,AUTOPRO MAITLAND,3021
MAL09,MALENY AUTO SPARES,3020
MAN18,AUTOWEST,3030
MAN26,MANSFIELD PARTS CENTRE,3030
MAN28,MANNUM AUTO PARTS,3030
