"Part No""",Available Stock,Site
004000UC,0,NSW01
004000UC,0,QLD01
004000UC,0,WHS01
004000UC,0,TAS01
004000UC,0,AC001
004000UC,0,DCV01
"=""004200""",1,DCV01
"=""004200""",0,AC001
"=""004200""",1,QLD01
"=""004200""",0,VIC01
"=""004200""",5,WHS01
"=""004200""",1,WA001
"=""004200""",1,TAS01
"=""004200""",1,SA001
"=""004200""",1,NSW01
"=""004200""",0,DCV02
004200UC,0,DCV02
004200UC,0,WA001
004200UC,0,WHS01
004200UC,0,VIC01
004200UC,0,NSW01
004200UC,0,QLD01
004200UC,0,AC001
004200UC,0,TAS01
004200UC,0,SA001
004200UC,0,DCV01
"=""004230""",0,DCV01
"=""004230""",0,TAS01
"=""004230""",0,WA001
"=""004230""",0,QLD01
"=""004230""",0,VIC01
"=""004230""",0,NSW01
"=""004230""",0,WHS01
"=""004230""",0,SA001
"=""004230""",0,AC001
"=""004230""",0,DCV02
"=""004400""",2,DCV02
"=""004400""",0,AC001
"=""004400""",39,WHS01
"=""004400""",1,NSW01
"=""004400""",2,QLD01
"=""004400""",1,SA001
"=""004400""",1,TAS01
"=""004400""",0,VIC01
"=""004400""",3,WA001
"=""004400""",1,DCV01
004400UC,2,DCV01
004400UC,2,NSW01
004400UC,2,QLD01
004400UC,1,SA001
004400UC,1,TAS01
004400UC,0,VIC01
004400UC,1,WA001
004400UC,10,WHS01
004400UC,0,AC001
004400UC,0,DCV02
"=""004520""",0,DCV02
"=""004520""",0,AC001
"=""004520""",0,TAS01
"=""004520""",0,SA001
"=""004520""",0,WHS01
"=""004520""",0,VIC01
"=""004520""",0,NSW01
"=""004520""",0,DCV01
"=""004520""",0,QLD01
"=""004520""",0,WA001
004520UC,0,DCV01
004520UC,0,AC001
004520UC,0,WHS01
004520UC,0,TAS01
004520UC,0,DCV02
004520UC,0,VIC01
004520UC,0,WA001
004520UC,0,SA001
004520UC,0,NSW01
004520UC,0,QLD01
"=""004600""",0,VIC01
"=""004600""",1,WA001
"=""004600""",1,SA001
"=""004600""",1,NSW01
"=""004600""",15,WHS01
"=""004600""",1,QLD01
"=""004600""",0,DCV02
"=""004600""",0,AC001
"=""004600""",2,TAS01
"=""004600""",0,DCV01
"=""004704""",0,DCV01
"=""004704""",0,WA001
"=""004704""",0,QLD01
"=""004704""",0,NSW01
"=""004704""",0,VIC01
"=""004704""",2,WHS01
"=""004704""",0,SA001
"=""004704""",0,DCV02
"=""004704""",0,TAS01
"=""004704""",0,AC001
"=""004714""",0,DCV02
"=""004714""",2,NSW01
"=""004714""",0,VIC01
"=""004714""",5,WHS01
"=""004714""",1,TAS01
"=""004714""",1,WA001
"=""004714""",1,SA001
"=""004714""",1,QLD01
"=""004714""",0,AC001
"=""004714""",1,DCV01
"=""004730""",1,DCV01
"=""004730""",0,AC001
"=""004730""",1,QLD01
"=""004730""",1,SA001
"=""004730""",1,WA001
"=""004730""",1,TAS01
"=""004730""",7,WHS01
"=""004730""",0,VIC01
"=""004730""",1,NSW01
"=""004730""",0,DCV02
"=""004900""",0,DCV02
"=""004900""",0,AC001
"=""004900""",1,WA001
"=""004900""",6,WHS01
"=""004900""",0,VIC01
"=""004900""",1,QLD01
"=""004900""",1,NSW01
"=""004900""",1,SA001
"=""004900""",1,TAS01
"=""004900""",0,DCV01
004900UC,0,DCV01
004900UC,0,AC001
004900UC,0,TAS01
004900UC,0,WHS01
004900UC,0,DCV02
004900UC,0,NSW01
004900UC,0,QLD01
004900UC,0,VIC01
004900UC,0,WA001
004900UC,0,SA001
"=""004910""",0,DCV02
"=""004910""",0,AC001
"=""004910""",0,TAS01
"=""004910""",0,SA001
"=""004910""",0,DCV01
"=""004910""",0,QLD01
"=""004910""",0,WA001
"=""004910""",3,WHS01
"=""004910""",0,VIC01
"=""004910""",0,NSW01
"=""005000""",1,DCV01
"=""005000""",1,QLD01
"=""005000""",0,VIC01
"=""005000""",0,WHS01
"=""005000""",2,WA001
"=""005000""",1,TAS01
"=""005000""",1,NSW01
"=""005000""",1,SA001
"=""005000""",0,AC001
"=""005000""",0,DCV02
005000UC,0,DCV02
005000UC,0,SA001
005000UC,0,WA001
005000UC,0,VIC01
005000UC,0,QLD01
005000UC,0,NSW01
005000UC,0,AC001
005000UC,0,WHS01
005000UC,0,TAS01
005000UC,0,DCV01
"=""005100""",0,DCV01
"=""005100""",0,AC001
"=""005100""",1,SA001
"=""005100""",1,NSW01
"=""005100""",1,TAS01
"=""005100""",3,WA001
"=""005100""",9,WHS01
"=""005100""",0,VIC01
"=""005100""",0,QLD01
"=""005100""",0,DCV02
005100UC,0,DCV02
005100UC,0,NSW01
005100UC,0,QLD01
005100UC,0,VIC01
005100UC,0,WA001
005100UC,0,SA001
005100UC,0,AC001
005100UC,0,TAS01
005100UC,0,WHS01
005100UC,0,DCV01
"=""005210""",1,DCV01
"=""005210""",0,AC001
"=""005210""",10,WHS01
"=""005210""",1,NSW01
"=""005210""",1,QLD01
"=""005210""",1,SA001
"=""005210""",1,TAS01
"=""005210""",0,VIC01
"=""005210""",1,WA001
"=""005210""",0,DCV02
005210UC,0,SA001
005210UC,0,WA001
005210UC,0,VIC01
005210UC,0,QLD01
005210UC,0,NSW01
005210UC,0,WHS01
005210UC,0,TAS01
"=""005600""",0,AC001
"=""005600""",1,QLD01
"=""005600""",0,VIC01
"=""005600""",12,WHS01
"=""005600""",1,WA001
"=""005600""",2,TAS01
"=""005600""",1,NSW01
"=""005600""",1,SA001
"=""005600""",0,DCV01
"=""005600""",0,DCV02
